Year,Quarter,Revenue (millions)
2018 Q4,Q4,"6,303.60"
2019 Q1,Q1,"6,632.70"
2019 Q2,Q2,"6,305.90"
2019 Q3,Q3,"6,823.00"
2019 Q4,Q4,"6,747.00"
2020 Q1,Q1,"5,010.90"
2020 Q2,Q2,"5,995.70"
2020 Q3,Q3,"4,222.10"
2020 Q4,Q4,"6,203.10"
2021 Q1,Q1,"6,749.40"
2021 Q2,Q2,"6,668.00"
2021 Q3,Q3,"7,496.50"
2021 Q4,Q4,"8,146.70"
2022 Q1,Q1,"8,050.40"
2022 Q2,Q2,"7,635.60"
2022 Q3,Q3,"8,150.10"
2022 Q4,Q4,"8,414.20"
2023 Q1,Q1,"8,713.90"
2023 Q2,Q2,"8,719.80"
2023 Q3,Q3,"9,168.30"
2023 Q4,Q4,"9,373.60"
2024 Q1,Q1,"9,425.30"
2024 Q2,Q2,"8,563.00"
2024 Q3,Q3,"9,113.90"
