Series Name,Series Code,Time,Time Code,USA
"Population, total",SP.POP.TOTL,1995,YR1995,266278000
"Population, total",SP.POP.TOTL,1996,YR1996,269394000
"Population, total",SP.POP.TOTL,1997,YR1997,272657000
"Population, total",SP.POP.TOTL,1998,YR1998,275854000
"Population, total",SP.POP.TOTL,1999,YR1999,279040000
"Population, total",SP.POP.TOTL,2000,YR2000,282162411
"Population, total",SP.POP.TOTL,2001,YR2001,284968955
"Population, total",SP.POP.TOTL,2002,YR2002,287625193
"Population, total",SP.POP.TOTL,2003,YR2003,290107933
"Population, total",SP.POP.TOTL,2004,YR2004,292805298
"Population, total",SP.POP.TOTL,2005,YR2005,295516599
"Population, total",SP.POP.TOTL,2006,YR2006,298379912
"Population, total",SP.POP.TOTL,2007,YR2007,301231207
"Population, total",SP.POP.TOTL,2008,YR2008,304093966
"Population, total",SP.POP.TOTL,2009,YR2009,306771529
"Population, total",SP.POP.TOTL,2010,YR2010,309327143
"Population, total",SP.POP.TOTL,2011,YR2011,311583481
"Population, total",SP.POP.TOTL,2012,YR2012,313877662
"Population, total",SP.POP.TOTL,2013,YR2013,316059947
"Population, total",SP.POP.TOTL,2014,YR2014,318386329
"Population, total",SP.POP.TOTL,2015,YR2015,320738994
"Population, total",SP.POP.TOTL,2016,YR2016,323071755
"Population, total",SP.POP.TOTL,2017,YR2017,325122128
"Population, total",SP.POP.TOTL,2018,YR2018,326838199
"Population, total",SP.POP.TOTL,2019,YR2019,328329953
"Population, total",SP.POP.TOTL,2020,YR2020,331526933
